,the,of,to,and,in,a,be,that,it,is,which,as,by,this,would,have,or,for,not,will,their,with,from,are,an,they,on,states,been,government,may,state,all,but,its,power,has,other,if,at,more,than,them,any,one,people,no,those,there,we
state,0.022787286063569685,0.0025066146776215013,0.0002231644722160232,0.0018846588767433095,0.0,0.015415821501014199,0.0,0.007159904534606206,0.0,0.0,0.0,0.001053740779768177,0.0,0.049778761061946904,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.005357142857142857,0.0,0.001644736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011834319526627219,0.0,0.0,0.0,0.0,0.0,0.03064066852367688,0.03985507246376812,0.0,0.0035211267605633804,0.0,0.0,0.0
all,0.0,0.009469433226570116,0.008257085471992859,0.002638522427440633,0.018371757925072046,0.0,0.0,0.00954653937947494,0.0013218770654329147,0.0030534351145038168,0.0033003300330033004,0.002107481559536354,0.00954653937947494,0.004424778761061947,0.0010845986984815619,0.002607561929595828,0.0,0.007183908045977011,0.005822416302765648,0.0,0.0,0.020100502512562814,0.009868421052631578,0.003527336860670194,0.0,0.0,0.016304347826086956,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.002638522427440633,0.0,0.0,0.11924119241192412,0.0,0.0,0.013605442176870748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but,0.0,0.0001392563709789723,0.0002231644722160232,0.0,0.0,0.0,0.001326259946949602,0.0,0.0013218770654329147,0.0015267175572519084,0.0,0.0,0.0,0.0,0.0,0.002607561929595828,0.0,0.0,0.0,0.003003003003003003,0.0,0.0016750418760469012,0.0,0.0,0.0,0.0,0.0,0.020089285714285712,0.0,0.024752475247524754,0.0021691973969631237,0.010482180293501049,0.004739336492890996,0.0,0.0,0.017587939698492462,0.0,0.008875739644970414,0.0,0.0,0.0,0.003194888178913738,0.0,0.005571030640668524,0.0,0.0,0.0,0.0,0.0,0.0
its,0.0,0.013786380726918257,0.009596072305288998,0.004523181304183943,0.01765129682997118,0.0,0.0008841732979664014,0.00477326968973747,0.0006609385327164573,0.003816793893129771,0.004125412541254125,0.005268703898840885,0.014319809069212411,0.0011061946902654867,0.0,0.0,0.004043126684636119,0.011494252873563218,0.0,0.0,0.0,0.018425460636515914,0.018092105263157895,0.003527336860670194,0.0,0.0,0.0,0.0,0.0,0.0024752475247524753,0.0,0.0020964360587002098,0.009478672985781991,0.0025252525252525255,0.0,0.002512562814070352,0.002638522427440633,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.003194888178913738,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power,0.01193154034229829,0.005988023952095809,0.0002231644722160232,0.0003769317753486619,0.0,0.016227180527383367,0.0,0.008949880668257757,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.011734028683181226,0.0,0.0014367816091954023,0.0,0.0,0.005357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041928721174004195,0.002369668246445498,0.0,0.0049382716049382715,0.002512562814070352,0.002638522427440633,0.0,0.0,0.0,0.0,0.0,0.0,0.002785515320334262,0.0,0.0,0.014084507042253521,0.0,0.0,0.0
has,0.0,0.0,0.0,0.005277044854881266,0.0,0.0,0.0,0.003579952267303103,0.05287508261731659,0.0007633587786259542,0.04620462046204621,0.008429926238145416,0.0,0.00663716814159292,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.007425742574257425,0.0,0.0020964360587002098,0.0,0.0,0.0,0.005025125628140704,0.0,0.008875739644970414,0.0,0.0,0.0,0.003194888178913738,0.006802721088435374,0.0,0.0036231884057971015,0.003787878787878788,0.0,0.0,0.010666666666666666,0.0
other,0.011246943765281174,0.0030636401615373905,0.0002231644722160232,0.0018846588767433095,0.009005763688760807,0.0,0.0,0.0,0.0,0.0,0.0,0.001053740779768177,0.0,0.0,0.0,0.0,0.009433962264150945,0.0014367816091954023,0.0,0.0,0.0,0.0033500837520938024,0.001644736842105263,0.008818342151675485,0.0,0.0,0.002717391304347826,0.0,0.0,0.0,0.0,0.0,0.03080568720379147,0.0,0.0024691358024691358,0.0,0.0,0.0,0.0,0.005420054200542005,0.0,0.0,0.0,0.09192200557103064,0.0036231884057971015,0.0,0.024647887323943664,0.003194888178913738,0.0,0.0
if,0.0,0.0,0.0002231644722160232,0.010177157934413872,0.0,0.0,0.0008841732979664014,0.010739856801909309,0.001982815598149372,0.0,0.009900990099009901,0.004214963119072708,0.0,0.0,0.0,0.001303780964797914,0.005390835579514825,0.005747126436781609,0.002911208151382824,0.0015015015015015015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013392857142857142,0.002070393374741201,0.009900990099009901,0.0,0.0041928721174004195,0.002369668246445498,0.030303030303030304,0.0,0.005025125628140704,0.002638522427440633,0.005917159763313609,0.0,0.0,0.0,0.009584664536741214,0.006802721088435374,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0
at,0.0,0.0,0.0002231644722160232,0.003015454202789295,0.0,0.0,0.009725906277630415,0.0005966587112171838,0.0013218770654329147,0.00916030534351145,0.0016501650165016502,0.0,0.0,0.004424778761061947,0.009761388286334056,0.009126466753585397,0.005390835579514825,0.0,0.005822416302765648,0.012012012012012012,0.0,0.0016750418760469012,0.0,0.010582010582010581,0.0,0.0038535645472061657,0.0,0.008928571428571428,0.0,0.009900990099009901,0.008676789587852495,0.0,0.0,0.0,0.0,0.005025125628140704,0.0079155672823219,0.0029585798816568047,0.013550135501355014,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.03409090909090909,0.0,0.003194888178913738,0.0,0.006802721088435374
more,0.0030317848410757946,0.0006962818548948615,0.0008926578888640928,0.004523181304183943,0.00036023054755043225,0.012981744421906694,0.010610079575596816,0.0017899761336515514,0.0006609385327164573,0.008396946564885497,0.0,0.001053740779768177,0.0,0.0,0.0010845986984815619,0.003911342894393741,0.01482479784366577,0.0014367816091954023,0.005822416302765648,0.003003003003003003,0.0035714285714285713,0.005025125628140704,0.001644736842105263,0.001763668430335097,0.0,0.0,0.0,0.002232142857142857,0.004140786749482402,0.0,0.0,0.0,0.0,0.0,0.0049382716049382715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.0036231884057971015,0.0,0.007042253521126761,0.0,0.0,0.0
